partido_id,mundial,fase,grupo,jornada,fecha,equipo_local,equipo_visitante,goles_local,goles_visitante,marcador,local_es_anfitrion,visitante_es_anfitrion,fuente,goles_totales,diferencia_goles,resultado_local
M-2026-046,2026,Fase de grupos,H,2,2026-06-21,Uruguay,Cape Verde,2,2,2-2,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H,4,0,Empata
M-2026-051,2026,Fase de grupos,I,2,2026-06-22,France,Iraq,3,0,3-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I,3,3,Gana
M-2026-052,2026,Fase de grupos,I,2,2026-06-22,Norway,Senegal,3,2,3-2,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I,5,1,Gana
M-2026-057,2026,Fase de grupos,J,2,2026-06-22,Argentina,Austria,2,0,2-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J,2,2,Gana
M-2026-058,2026,Fase de grupos,J,2,2026-06-22,Jordan,Algeria,1,2,1-2,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J,3,-1,Pierde
M-2026-063,2026,Fase de grupos,K,2,2026-06-23,Portugal,Uzbekistan,5,0,5-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K,5,5,Gana
M-2026-064,2026,Fase de grupos,K,2,2026-06-23,Colombia,DR Congo,1,0,1-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K,1,1,Gana
M-2026-069,2026,Fase de grupos,L,2,2026-06-23,England,Ghana,0,0,0-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L,0,0,Empata
M-2026-070,2026,Fase de grupos,L,2,2026-06-23,Panama,Croatia,0,1,0-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L,1,-1,Pierde
M-2026-005,2026,Fase de grupos,A,3,2026-06-24,Czechia,Mexico,0,3,0-3,False,True,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A,3,-3,Pierde
M-2026-006,2026,Fase de grupos,A,3,2026-06-24,South Africa,South Korea,1,0,1-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A,1,1,Gana
M-2026-011,2026,Fase de grupos,B,3,2026-06-24,Switzerland,Canada,2,1,2-1,False,True,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B,3,1,Gana
